customer_id,gender,region,age,age_cleaned,age_group,age_missing_flag,age_model,age_treatment_method,product_name,category,unit_price,quantity,total_price,shipping_fee,shipping_status,order_date,year,month,year_month
CUST0268,Male,North,,21,18-24,1,21,Recovered from same Customer ID,Monitor,Electronics,300.00,5,1500.00,13.31,Returned,2023-12-08,2023,12,2023-12
CUST0046,Male,West,22,22,18-24,0,22,Original,Headphones,Accessories,100.00,2,200.00,6.93,In Transit,2023-04-09,2023,4,2023-04
CUST0169,Female,South,54,54,45-54,0,54,Original,Monitor,Electronics,300.00,1,300.00,11.31,Returned,2023-08-28,2023,8,2023-08
CUST0002,Male,North,23,23,18-24,0,23,Original,Headphones,Accessories,100.00,5,500.00,12.22,Delivered,2023-01-18,2023,1,2023-01
CUST0173,Female,South,,65,65+,1,65,Recovered from same Customer ID,Laptop,Electronics,1500.00,3,4500.00,5.40,Delivered,2023-01-19,2023,1,2023-01
CUST0147,Male,North,64,64,55-64,0,64,Original,Smartwatch,Wearables,200.00,2,400.00,11.26,In Transit,2023-01-11,2023,1,2023-01
CUST0262,Male,East,27,27,25-34,0,27,Original,Smartwatch,Wearables,200.00,1,200.00,18.38,In Transit,2023-10-23,2023,10,2023-10
CUST0159,Female,South,18,18,18-24,0,18,Original,Keyboard,Accessories,50.00,2,100.00,15.08,Returned,2023-06-15,2023,6,2023-06
CUST0046,Female,East,22,22,18-24,0,22,Original,Mouse,Accessories,30.00,1,30.00,8.22,Returned,2023-02-25,2023,2,2023-02
CUST0023,Male,West,29,29,25-34,0,29,Original,Headphones,Accessories,100.00,3,300.00,10.70,Delivered,2023-04-23,2023,4,2023-04
CUST0201,Female,East,49,49,45-54,0,49,Original,Headphones,Accessories,100.00,2,200.00,9.80,Returned,2023-06-01,2023,6,2023-06
CUST0283,Female,West,67,67,65+,0,67,Original,Mouse,Accessories,30.00,3,90.00,5.65,In Transit,2023-09-13,2023,9,2023-09
CUST0199,Female,West,41,41,35-44,0,41,Original,Keyboard,Accessories,50.00,5,250.00,7.13,Delivered,2023-02-17,2023,2,2023-02
CUST0039,Male,South,60,60,55-64,0,60,Original,Keyboard,Accessories,50.00,4,200.00,10.91,Returned,2023-12-10,2023,12,2023-12
CUST0276,Male,West,66,66,65+,0,66,Original,Mouse,Accessories,30.00,1,30.00,11.36,In Transit,2023-06-29,2023,6,2023-06
CUST0143,Female,Unknown,36,36,35-44,0,36,Original,Smartwatch,Wearables,200.00,3,600.00,7.89,Delivered,2023-07-14,2023,7,2023-07
CUST0139,Male,North,57,57,55-64,0,57,Original,Laptop,Electronics,1500.00,4,6000.00,10.92,In Transit,2023-05-13,2023,5,2023-05
CUST0210,Male,South,30,30,25-34,0,30,Original,Smartphone,Electronics,800.00,2,1600.00,11.44,Returned,2023-06-09,2023,6,2023-06
CUST0293,Female,East,32,32,25-34,0,32,Original,Smartwatch,Wearables,200.00,5,1000.00,7.16,In Transit,2023-06-21,2023,6,2023-06
CUST0049,Female,West,59,59,55-64,0,59,Original,Monitor,Electronics,300.00,4,1200.00,17.37,In Transit,2023-11-26,2023,11,2023-11
CUST0283,Female,East,67,67,65+,0,67,Original,Smartphone,Electronics,800.00,5,4000.00,12.17,Delivered,2023-11-08,2023,11,2023-11
CUST0196,Female,South,37,37,35-44,0,37,Original,Mouse,Accessories,30.00,3,90.00,19.41,Returned,2023-12-27,2023,12,2023-12
CUST0050,Male,North,,40,35-44,1,40,Recovered from same Customer ID,Mouse,Accessories,30.00,3,90.00,6.97,Returned,2023-06-06,2023,6,2023-06
CUST0007,Female,East,52,52,45-54,0,52,Original,Headphones,Accessories,100.00,2,200.00,12.00,In Transit,2023-10-28,2023,10,2023-10
CUST0242,Male,North,58,58,55-64,0,58,Original,Smartphone,Electronics,800.00,4,3200.00,18.11,Unknown,2023-12-30,2023,12,2023-12
CUST0042,Female,South,57,57,55-64,0,57,Original,Keyboard,Accessories,50.00,1,50.00,9.60,Delivered,2023-12-04,2023,12,2023-12
CUST0264,Male,East,59,59,55-64,0,59,Original,Smartphone,Electronics,800.00,2,1600.00,11.59,In Transit,2023-02-01,2023,2,2023-02
CUST0053,Female,North,25,25,25-34,0,25,Original,Smartwatch,Wearables,200.00,1,200.00,14.90,Delivered,2023-08-14,2023,8,2023-08
CUST0154,Female,East,31,31,25-34,0,31,Original,Smartphone,Electronics,800.00,1,800.00,19.22,In Transit,2023-12-07,2023,12,2023-12
CUST0190,Male,North,28,28,25-34,0,28,Original,Keyboard,Accessories,50.00,4,200.00,15.31,Delivered,2023-06-28,2023,6,2023-06
CUST0038,Female,East,57,57,55-64,0,57,Original,Monitor,Electronics,300.00,2,600.00,12.38,Returned,2023-11-17,2023,11,2023-11
CUST0288,Female,South,,55,55-64,1,55,Recovered from same Customer ID,Laptop,Electronics,1500.00,4,6000.00,12.91,Delivered,2023-01-25,2023,1,2023-01
CUST0124,Female,South,53,53,45-54,0,53,Original,Monitor,Electronics,300.00,2,600.00,18.38,In Transit,2023-09-05,2023,9,2023-09
CUST0298,Female,South,58,58,55-64,0,58,Original,Headphones,Accessories,100.00,5,500.00,7.41,Delivered,2023-09-17,2023,9,2023-09
CUST0211,Female,South,35,35,35-44,0,35,Original,Mouse,Accessories,30.00,3,90.00,11.42,Delivered,2023-12-25,2023,12,2023-12
CUST0060,Male,North,41,41,35-44,0,41,Original,Laptop,Electronics,1500.00,4,6000.00,7.13,Delivered,2023-01-14,2023,1,2023-01
CUST0284,Female,West,64,64,55-64,0,64,Original,Monitor,Electronics,300.00,1,300.00,6.55,Returned,2023-08-01,2023,8,2023-08
CUST0282,Male,North,,68,65+,1,68,Recovered from same Customer ID,Smartphone,Electronics,800.00,2,1600.00,9.72,Delivered,2023-02-12,2023,2,2023-02
CUST0205,Female,South,43,43,35-44,0,43,Original,Monitor,Electronics,300.00,2,600.00,18.27,In Transit,2023-05-18,2023,5,2023-05
CUST0222,Female,Unknown,61,61,55-64,0,61,Original,Smartphone,Electronics,800.00,2,1600.00,6.01,Returned,2023-10-03,2023,10,2023-10
CUST0299,Male,East,58,58,55-64,0,58,Original,Keyboard,Accessories,50.00,2,100.00,9.57,Returned,2023-08-30,2023,8,2023-08
CUST0064,Male,West,61,61,55-64,0,61,Original,Monitor,Electronics,300.00,1,300.00,13.82,Returned,2023-09-15,2023,9,2023-09
CUST0073,Male,East,19,19,18-24,0,19,Original,Keyboard,Accessories,50.00,4,200.00,5.32,Delivered,2023-02-14,2023,2,2023-02
CUST0154,Male,North,31,31,25-34,0,31,Original,Keyboard,Accessories,50.00,3,150.00,7.46,Delivered,2023-02-27,2023,2,2023-02
CUST0081,Male,North,38,38,35-44,0,38,Original,Monitor,Electronics,300.00,1,300.00,17.22,Returned,2023-08-13,2023,8,2023-08
CUST0247,Male,East,44,44,35-44,0,44,Original,Headphones,Accessories,100.00,2,200.00,8.15,In Transit,2023-05-09,2023,5,2023-05
CUST0130,Male,East,68,68,65+,0,68,Original,Monitor,Electronics,300.00,2,600.00,9.56,Unknown,2023-12-23,2023,12,2023-12
CUST0178,Male,West,44,44,35-44,0,44,Original,Smartwatch,Wearables,200.00,3,600.00,18.09,In Transit,2023-10-28,2023,10,2023-10
CUST0131,Female,West,67,67,65+,0,67,Original,Laptop,Electronics,1500.00,4,6000.00,7.01,Delivered,2023-09-01,2023,9,2023-09
CUST0070,Male,West,23,23,18-24,0,23,Original,Monitor,Electronics,300.00,3,900.00,12.58,Returned,2023-04-16,2023,4,2023-04
CUST0122,Male,West,68,68,65+,0,68,Original,Headphones,Accessories,100.00,2,200.00,13.49,In Transit,2023-12-13,2023,12,2023-12
CUST0168,Female,East,42,42,35-44,0,42,Original,Monitor,Electronics,300.00,4,1200.00,18.15,In Transit,2023-03-27,2023,3,2023-03
CUST0176,Male,South,51,51,45-54,0,51,Original,Laptop,Electronics,1500.00,2,3000.00,7.43,Delivered,2023-11-16,2023,11,2023-11
CUST0064,Female,West,61,61,55-64,0,61,Original,Laptop,Electronics,1500.00,2,3000.00,5.42,Returned,2023-06-14,2023,6,2023-06
CUST0125,Female,South,46,46,45-54,0,46,Original,Smartphone,Electronics,800.00,5,4000.00,10.62,Returned,2023-01-26,2023,1,2023-01
CUST0165,Female,West,49,49,45-54,0,49,Original,Keyboard,Accessories,50.00,4,200.00,19.72,Unknown,2023-12-25,2023,12,2023-12
CUST0057,Male,North,62,62,55-64,0,62,Original,Keyboard,Accessories,50.00,4,200.00,12.79,Delivered,2023-09-29,2023,9,2023-09
CUST0207,Male,South,54,54,45-54,0,54,Original,Laptop,Electronics,1500.00,1,1500.00,5.16,Delivered,2023-03-14,2023,3,2023-03
CUST0167,Female,North,67,67,65+,0,67,Original,Headphones,Accessories,100.00,2,200.00,11.65,Returned,2023-12-14,2023,12,2023-12
CUST0006,Male,South,52,52,45-54,0,52,Original,Laptop,Electronics,1500.00,5,7500.00,19.69,In Transit,2023-09-17,2023,9,2023-09
CUST0041,Male,East,64,64,55-64,0,64,Original,Smartphone,Electronics,800.00,4,3200.00,17.27,In Transit,2023-08-08,2023,8,2023-08
CUST0112,Male,North,33,33,25-34,0,33,Original,Monitor,Electronics,300.00,4,1200.00,14.88,Delivered,2023-04-12,2023,4,2023-04
CUST0244,Female,West,24,24,18-24,0,24,Original,Headphones,Accessories,100.00,3,300.00,8.49,In Transit,2023-02-21,2023,2,2023-02
CUST0218,Male,East,36,36,35-44,0,36,Original,Headphones,Accessories,100.00,2,200.00,7.71,Returned,2023-11-03,2023,11,2023-11
CUST0073,Male,North,19,19,18-24,0,19,Original,Monitor,Electronics,300.00,5,1500.00,13.70,In Transit,2023-01-16,2023,1,2023-01
CUST0083,Male,East,28,28,25-34,0,28,Original,Monitor,Electronics,300.00,1,300.00,17.98,Returned,2024-01-03,2024,1,2024-01
CUST0065,Female,East,,41,35-44,1,41,Recovered from same Customer ID,Headphones,Accessories,100.00,2,200.00,13.06,Returned,2023-02-05,2023,2,2023-02
CUST0096,Female,Unknown,61,61,55-64,0,61,Original,Smartphone,Electronics,800.00,4,3200.00,11.79,In Transit,2023-02-07,2023,2,2023-02
CUST0060,Male,South,41,41,35-44,0,41,Original,Keyboard,Accessories,50.00,4,200.00,19.12,Returned,2023-04-03,2023,4,2023-04
CUST0045,Male,East,21,21,18-24,0,21,Original,Mouse,Accessories,30.00,1,30.00,6.17,In Transit,2023-10-23,2023,10,2023-10
CUST0296,Female,North,50,50,45-54,0,50,Original,Keyboard,Accessories,50.00,2,100.00,13.82,In Transit,2023-07-25,2023,7,2023-07
CUST0261,Male,West,48,48,45-54,0,48,Original,Laptop,Electronics,1500.00,5,7500.00,15.95,Returned,2023-10-01,2023,10,2023-10
CUST0077,Male,South,50,50,45-54,0,50,Original,Keyboard,Accessories,50.00,5,250.00,10.89,Delivered,2023-03-19,2023,3,2023-03
CUST0227,Female,West,54,54,45-54,0,54,Original,Keyboard,Accessories,50.00,4,200.00,9.22,Returned,2023-10-05,2023,10,2023-10
CUST0284,Female,North,64,64,55-64,0,64,Original,Keyboard,Accessories,50.00,3,150.00,17.76,In Transit,2023-04-11,2023,4,2023-04
CUST0245,Male,North,63,63,55-64,0,63,Original,Mouse,Accessories,30.00,1,30.00,13.28,Returned,2023-09-11,2023,9,2023-09
CUST0133,Female,North,47,47,45-54,0,47,Original,Smartphone,Electronics,800.00,1,800.00,11.29,Returned,2023-10-28,2023,10,2023-10
CUST0179,Male,North,45,45,45-54,0,45,Original,Keyboard,Accessories,50.00,2,100.00,19.04,Delivered,2023-03-16,2023,3,2023-03
CUST0022,Female,North,33,33,25-34,0,33,Original,Smartwatch,Wearables,200.00,2,400.00,10.07,Delivered,2023-11-21,2023,11,2023-11
CUST0269,Female,East,64,64,55-64,0,64,Original,Laptop,Electronics,1500.00,5,7500.00,6.53,Returned,2023-12-03,2023,12,2023-12
